BBS Master Sequencing — 10 campaigns — 4761 sent | 18 replies (0.4%) | 1522 bounces (32.0%)

Company,Domain,Total Sent,Replies,Bounces,Reply %,Bounce %,First Reply Date,Campaign(s)
Cisco Systems,cisco.com,10,4,0,40.0%,0.0%,"Fri, 19 Jun 2026",BBS Expansion Batch 1 - June 2026
PNC Financial,pnc.com,93,3,14,3.2%,15.1%,"Mon, 4 May 2026 ","Fortune 20 Tech & Consulting - May 2026,Fortune 40 Campaign - Round 3,bbs_outreach_1"
Dell Technologies,dell.com,177,2,52,1.1%,29.4%,"Sat, 2 May 2026 ","bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026"
T-Mobile,t-mobile.com,21,2,0,9.5%,0.0%,"Sat, 2 May 2026 ","bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026"
FedEx,fedex.com,87,1,25,1.1%,28.7%,"Mon, 4 May 2026 ","Fortune 20 Tech & Consulting - May 2026,Fortune 40 Campaign - Round 3,bbs_outreach_1"
Morgan Stanley,morganstanley.com,76,1,15,1.3%,19.7%,"Sat, 9 May 2026 ","Fortune 20 Tech & Consulting - May 2026,bbs_outreach_1"
Chevron,chevron.com,75,1,37,1.3%,49.3%,"Sat, 9 May 2026 ","Fortune 20 Tech & Consulting - May 2026,bbs_outreach_1"
Prudential Financial,prudential.com,36,1,0,2.8%,0.0%,"Mon, 18 May 2026","Fortune 40 Campaign - Round 3,bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026"
Allstate,allstate.com,36,1,0,2.8%,0.0%,"Mon, 18 May 2026","Fortune 40 Campaign - Round 3,bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026"
Elevance Health,elevancehealth.com,22,1,3,4.5%,13.6%,"Mon, 11 May 2026",Fortune 20 Tech & Consulting - May 2026
Amplitude,amplitude.com,10,1,6,10.0%,60.0%,"Fri, 12 Jun 2026",Batch 4 Outreach - June 2026
PepsiCo,pepsico.com,257,0,89,0.0%,34.6%,,"bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026,Fortune 40 Campaign - Round 3"
Cigna,cigna.com,176,0,48,0.0%,27.3%,,"Fortune 20 Tech & Consulting - May 2026,Fortune 40 Campaign - Round 3,bbs_outreach_1"
Archer Daniels Midland,adm.com,153,0,94,0.0%,61.4%,,"Fortune 20 Tech & Consulting - May 2026,Fortune 40 Campaign - Round 3,bbs_outreach_1"
State Farm,statefarm.com,151,0,74,0.0%,49.0%,,"Fortune 20 Tech & Consulting - May 2026,bbs_outreach_1"
Lowe's,lowes.com,129,0,57,0.0%,44.2%,,"Fortune 20 Tech & Consulting - May 2026,bbs_outreach_1"
Goldman Sachs,goldmansachs.com,125,0,66,0.0%,52.8%,,"Fortune 20 Tech & Consulting - May 2026,bbs_outreach_1"
Capital One,capitalone.com,120,0,0,0.0%,0.0%,,"bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026,Fortune 40 Campaign - Round 3"
Valero Energy,valero.com,100,0,0,0.0%,0.0%,,"bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026,Fortune 40 Campaign - Round 3"
Phillips 66,phillips66.com,100,0,100,0.0%,100.0%,,"bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026,Fortune 40 Campaign - Round 3"
Centene,centene.com,100,0,0,0.0%,0.0%,,"bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026,Fortune 40 Campaign - Round 3"
Visa,visa.com,100,0,0,0.0%,0.0%,,"bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026,Fortune 40 Campaign - Round 3"
JPMorgan Chase,jpmorganchase.com,100,0,100,0.0%,100.0%,,"bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026,Fortune 40 Campaign - Round 3"
Verizon,verizon.com,93,0,13,0.0%,14.0%,,"Fortune 20 Tech & Consulting - May 2026,Fortune 40 Campaign - Round 3,bbs_outreach_1"
Home Depot,homedepot.com,88,0,0,0.0%,0.0%,,"bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026,Fortune 40 Campaign - Round 3"
McKesson,mckesson.com,87,0,19,0.0%,21.8%,,"Fortune 20 Tech & Consulting - May 2026,Fortune 40 Campaign - Round 3,bbs_outreach_1"
Target,target.com,84,0,0,0.0%,0.0%,,"bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026,Fortune 40 Campaign - Round 3"
ExxonMobil,exxonmobil.com,84,0,44,0.0%,52.4%,,"Fortune 20 Tech & Consulting - May 2026,BBS Master Batch 1 - June 2026,bbs_outreach_1"
Volvo Cars,volvocars.com,81,0,14,0.0%,17.3%,,"Fortune 20 Tech & Consulting - May 2026,Fortune 40 Campaign - Round 3,bbs_outreach_1"
NIO,nio.com,81,0,6,0.0%,7.4%,,"Fortune 20 Tech & Consulting - May 2026,Fortune 40 Campaign - Round 3,bbs_outreach_1"
Costco,costco.com,80,0,0,0.0%,0.0%,,"bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026,BBS Master Batch 1 - June 2026"
Stellantis,stellantis.com,75,0,0,0.0%,0.0%,,"bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026"
Polestar,polestar.com,67,0,18,0.0%,26.9%,,"Fortune 20 Tech & Consulting - May 2026,Fortune 40 Campaign - Round 3,bbs_outreach_1"
Marathon Petroleum,marathonpetroleum.com,62,0,28,0.0%,45.2%,,"bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026"
