"# Master Outreach Analytics — All Campaigns (Opens require tracking pixels, not available via Gmail API)"
"TOTAL,5727,20,1931,0.3%,33.7%"

Company,Total_Sent,Replies,Bounces,Reply_%,Bounce_%,First_Reply_Date,Campaigns
Cisco Systems,8,4,0,50.0%,0.0%,"Fri, 19 Jun 2026 20:41:28 +0000 (GMT)",BBS Expansion Batch 1 - June 2026
PNC Financial,93,3,14,3.2%,15.1%,"Mon, 4 May 2026 12:15:05 +0000","bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026,Fortune 40 Campaign - Round 3"
Dell Technologies,177,2,52,1.1%,29.4%,"Sat, 2 May 2026 07:46:18 +0000","bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026"
T-Mobile,21,2,0,9.5%,0.0%,"Sat, 2 May 2026 06:36:24 +0000","bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026"
FedEx,87,1,25,1.1%,28.7%,"Mon, 4 May 2026 15:00:04 +0000","bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026,Fortune 40 Campaign - Round 3"
Morgan Stanley,76,1,15,1.3%,19.7%,"Sat, 9 May 2026 21:29:06 +0000","bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026"
Chevron,75,1,37,1.3%,49.3%,"Sat, 9 May 2026 09:40:42 +0000","bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026"
Allstate,36,1,0,2.8%,0.0%,"Mon, 18 May 2026 13:00:42 +0000","bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026,Fortune 40 Campaign - Round 3"
Prudential Financial,36,1,0,2.8%,0.0%,"Mon, 18 May 2026 12:48:51 +0000","bbs_outreach_1,Fortune 20 Tech & Consulting - May 2026,Fortune 40 Campaign - Round 3"
Airbnb,22,1,0,4.5%,0.0%,"Mon, 15 Jun 2026 23:07:36 +0000","Venture Out Batch 1 - June 2026,FV Master Batch 1 - June 2026,BBS Master Batch 1 - June 2026"
Elevance Health,22,1,3,4.5%,13.6%,"Mon, 11 May 2026 22:07:16 +0000",Fortune 20 Tech & Consulting - May 2026
